(1, venerdi, 9, 11, presentazione, tuttiDocenti)
(1, venerdi, 11, 13, pM, muzzetto)
(1, venerdi, 14, 16, aEISG, zanchetta)
(1, venerdi, 16, 18, vGPDM, travostino)
(1, sabato, 9, 11, pM, muzzetto)
(1, sabato, 11, 13, aEISG, zanchetta)

(2, venerdi, 9, 11, pM, muzzetto)
(2, venerdi, 11, 13, vGPDM, travostino)
(2, venerdi, 14, 16, gRU, lombardo)
(2, venerdi, 16, 18, gRU, lombardo)
(2, sabato, 9, 11, aEISG, zanchetta)
(2, sabato, 11, 13, aEISG, zanchetta)

(3, venerdi, 9, 11, aEISG, zanchetta)
(3, venerdi, 11, 13, gRU, lombardo)
(3, venerdi, 14, 16, aEISG, zanchetta)
(3, venerdi, 16, 18, gRU, lombardo)
(3, sabato, 9, 11, aEISG, zanchetta)
(3, sabato, 11, 13, pM, muzzetto)

(4, venerdi, 9, 11, pM, muzzetto)
(4, venerdi, 11, 13, lM, gena)
(4, venerdi, 14, 16, lM, gena)
(4, venerdi, 16, 18, pM, muzzetto)
(4, sabato, 9, 11, eFD, vargiu)
(4, sabato, 11, 13, g3D, gribaudo)

(5, venerdi, 9, 11, vGPDM, travostino)
(5, venerdi, 11, 13, pBD, mazzei)
(5, venerdi, 14, 16, g3D, gribaudo)
(5, venerdi, 16, 18, g3D, gribaudo)
(5, sabato, 9, 11, eFD, vargiu)
(5, sabato, 11, 13, g3D, gribaudo)

(6, venerdi, 9, 11, g3D, gribaudo)
(6, venerdi, 11, 13, g3D, gribaudo)
(6, venerdi, 14, 16, eFD, vargiu)
(6, venerdi, 16, 18, pBD, mazzei)
(6, sabato, 9, 11, pM, muzzetto)
(6, sabato, 11, 13, gRU, lombardo)

(7, lunedi, 9, 11, eFD, vargiu)
(7, lunedi, 11, 13, g3D, gribaudo)
(7, lunedi, 14, 16, pBD, mazzei)
(7, lunedi, 16, 18, aUPM, gena)
(7, martedi, 9, 11, eFD, vargiu)
(7, martedi, 11, 13, aESID, ghidelli)
(7, martedi, 14, 16, aESID, ghidelli)
(7, martedi, 16, 18, vGPDM, travostino)
(7, mercoledi, 9, 11, lM, gena)
(7, mercoledi, 11, 13, g3D, gribaudo)
(7, mercoledi, 14, 16, g3D, gribaudo)
(7, mercoledi, 16, 18, aESID, ghidelli)
(7, giovedi, 9, 11, pBD, mazzei)
(7, giovedi, 11, 13, lM, gena)
(7, giovedi, 14, 16, pBD, mazzei)
(7, giovedi, 16, 18, vGPDM, travostino)
(7, venerdi, 9, 11, g3D, gribaudo)
(7, venerdi, 11, 13, pBD, mazzei)
(7, venerdi, 14, 16, lM, gena)
(7, venerdi, 16, 18, pBD, mazzei)
(7, sabato, 9, 11, aESID, ghidelli)
(7, sabato, 11, 13, lM, gena)

(8, venerdi, 9, 11, lM, gena)
(8, venerdi, 11, 13, aESID, ghidelli)
(8, venerdi, 14, 16, lM, gena)
(8, venerdi, 16, 18, aUPM, gena)
(8, sabato, 9, 11, aESID, ghidelli)
(8, sabato, 11, 13, aESID, ghidelli)

(9, venerdi, 9, 11, pBD, mazzei)
(9, venerdi, 11, 13, sMISM, giordani)
(9, venerdi, 14, 16, pBD, mazzei)
(9, venerdi, 16, 18, lM, gena)
(9, sabato, 9, 11, mD, muzzetto)
(9, sabato, 11, 13, mD, muzzetto)
(9, sabato, 13, 14, aUPM, gena)

(10, venerdi, 9, 11, pBD, mazzei)
(10, venerdi, 11, 13, fIPP, pozzato)
(10, venerdi, 14, 16, aUPM, gena)
(10, venerdi, 16, 18, lM, gena)
(10, sabato, 9, 11, fIPP, pozzato)
(10, sabato, 11, 13, aESID, ghidelli)
(10, sabato, 13, 14, fIPP, pozzato)

(11, venerdi, 9, 11, mD, muzzetto)
(11, venerdi, 11, 13, aES, valle)
(11, venerdi, 14, 16, aES, valle)
(11, venerdi, 16, 18, fIPP, pozzato)
(11, sabato, 9, 11, aES, valle)
(11, sabato, 11, 13, aUPM, gena)
(11, sabato, 13, 14, fIPP, pozzato)

(12, venerdi, 9, 11, aESID, ghidelli)
(12, venerdi, 11, 13, aESID, ghidelli)
(12, venerdi, 14, 16, aUPM, gena)
(12, venerdi, 16, 18, aES, valle)
(12, sabato, 9, 11, mD, muzzetto)
(12, sabato, 11, 13, sMISM, giordani)
(12, sabato, 13, 14, aUPM, gena)

(13, venerdi, 9, 11, sM, santangelo)
(13, venerdi, 11, 13, sMISM, giordani)
(13, venerdi, 14, 16, sM, santangelo)
(13, venerdi, 16, 18, sMISM, giordani)
(13, sabato, 9, 11, sM, santangelo)
(13, sabato, 11, 13, aUPM, gena)

(14, venerdi, 9, 11, sM, santangelo)
(14, venerdi, 11, 13, sMISM, giordani)
(14, venerdi, 14, 16, sMISM, giordani)
(14, venerdi, 16, 18, sM, santangelo)
(14, sabato, 9, 11, mD, muzzetto)
(14, sabato, 11, 13, tSMD, zanchetta)

(15, venerdi, 9, 11, tSSW, damiano)
(15, venerdi, 11, 13, sMISM, giordani)
(15, venerdi, 14, 16, tSSW, damiano)
(15, venerdi, 16, 18, cPCP, gabardi)
(15, sabato, 9, 11, fIPP, pozzato)
(15, sabato, 11, 13, tSSW, damiano)

(16, lunedi, 9, 11, pGDI, terranova)
(16, lunedi, 11, 13, tSMD, zanchetta)
(16, lunedi, 14, 16, gQ, tomatis)
(16, lunedi, 16, 18, tSMD, zanchetta)
(16, martedi, 9, 11, tSMD, zanchetta)
(16, martedi, 11, 13, cASM, taddeo)
(16, martedi, 14, 16, fIPP, pozzato)
(16, martedi, 16, 18, aES, valle)
(16, mercoledi, 9, 11, cASM, taddeo)
(16, mercoledi, 11, 13, fIPP, pozzato)
(16, mercoledi, 14, 16, gQ, tomatis)
(16, mercoledi, 16, 18, aSLCW, micalizio)
(16, giovedi, 9, 11, aSLCW, micalizio)
(16, giovedi, 11, 13, tSSW, damiano)
(16, giovedi, 14, 16, aSLCW, micalizio)
(16, giovedi, 16, 18, cPCP, gabardi)
(16, venerdi, 9, 11, cASM, taddeo)
(16, venerdi, 11, 13, tSSW, damiano)
(16, venerdi, 14, 16, cASM, taddeo)
(16, venerdi, 16, 18, aSLCW, micalizio)
(16, sabato, 9, 11, cASM, taddeo)
(16, sabato, 11, 13, aSLCW, micalizio)
(16, sabato, 13, 14, aSLCW, micalizio)

(17, venerdi, 9, 11, pGDI, terranova)
(17, venerdi, 11, 13, aSLCW, micalizio)
(17, venerdi, 14, 16, rDP, boniolo)
(17, venerdi, 16, 18, aSLCW, micalizio)
(17, sabato, 9, 11, pGDI, terranova)
(17, sabato, 11, 13, tSMD, zanchetta)
(17, sabato, 13, 14, aSLCW, micalizio)

(18, venerdi, 9, 11, rDP, boniolo)
(18, venerdi, 11, 13, rDP, boniolo)
(18, venerdi, 14, 16, cPCP, gabardi)
(18, venerdi, 16, 18, cPCP, gabardi)
(18, sabato, 9, 11, iSMM, suppini)
(18, sabato, 11, 13, cPCP, gabardi)
(18, sabato, 13, 14, aSLCW, micalizio)

(19, venerdi, 9, 11, cASM, taddeo)
(19, venerdi, 11, 13, pGDI, terranova)
(19, venerdi, 14, 16, cPCP, gabardi)
(19, venerdi, 16, 18, cPCP, gabardi)
(19, sabato, 9, 11, pGDI, terranova)
(19, sabato, 11, 13, cASM, taddeo)
(19, sabato, 13, 14, aSLCW, micalizio)

(20, venerdi, 9, 11, tSSW, damiano)
(20, venerdi, 11, 13, tSSW, damiano)
(20, venerdi, 14, 16, iSMM, suppini)
(20, venerdi, 16, 18, iSMM, suppini)
(20, sabato, 9, 11, cASM, taddeo)
(20, sabato, 11, 13, cASM, taddeo)

(21, venerdi, 9, 11, tSSW, damiano)
(21, venerdi, 11, 13, iSMM, suppini)
(21, venerdi, 14, 16, aSLCW, micalizio)
(21, venerdi, 16, 18, tSSW, damiano)
(21, sabato, 9, 11, tSSW, damiano)
(21, sabato, 11, 13, iSMM, suppini)
(21, sabato, 13, 14, gQ, tomatis)

(22, venerdi, 9, 11, iSMM, suppini)
(22, venerdi, 11, 13, gQ, tomatis)
(22, venerdi, 14, 16, gQ, tomatis)
(22, venerdi, 16, 18, pSAWDM1, pozzato)
(22, sabato, 9, 11, cASM, taddeo)
(22, sabato, 11, 13, pSAWDM1, pozzato)
(22, sabato, 13, 14, gQ, tomatis)

(23, venerdi, 9, 11, pSAWDM1, pozzato)
(23, venerdi, 11, 13, pSAWDM1, pozzato)
(23, venerdi, 14, 16, rDP, boniolo)
(23, venerdi, 16, 18, rDP, boniolo)
(23, sabato, 9, 11, pSAWDM1, pozzato)
(23, sabato, 11, 13, pSAWDM2, schifanella)
(23, sabato, 13, 14, recupero, docente)

(24, venerdi, 9, 11, iSMM, suppini)
(24, venerdi, 11, 13, pSAWDM2, schifanella)
(24, venerdi, 14, 16, pSAWDM2, schifanella)
(24, venerdi, 16, 18, recupero, docente)
(24, sabato, 9, 11, pSAWDM2, schifanella)
(24, sabato, 11, 13, pSAWDM2, schifanella)
(24, sabato, 13, 14, recupero, docente)

364/376
