(1, venerdi, 9, 11, presentazione, tuttiDocenti)
(1, venerdi, 11, 13, aEISG, zanchetta)
(1, venerdi, 14, 16, aES, valle)
(1, venerdi, 16, 18, aEISG, zanchetta)
(1, sabato, 9, 11, aES, valle)
(1, sabato, 11, 13, rDP, boniolo)

(2, venerdi, 9, 11, rDP, boniolo)
(2, venerdi, 11, 13, aEISG, zanchetta)
(2, venerdi, 14, 16, pBD, mazzei)
(2, venerdi, 16, 18, aEISG, zanchetta)
(2, sabato, 9, 11, aEISG, zanchetta)
(2, sabato, 11, 13, pBD, mazzei)

(3, venerdi, 9, 11, aEISG, zanchetta)
(3, venerdi, 11, 13, aEISG, zanchetta)
(3, venerdi, 14, 16, pBD, mazzei)
(3, venerdi, 16, 18, eFD, vargiu)
(3, sabato, 9, 11, g3D, gribaudo)
(3, sabato, 11, 13, pM, muzzetto)

(4, venerdi, 9, 11, aES, valle)
(4, venerdi, 11, 13, rDP, boniolo)
(4, venerdi, 14, 16, rDP, boniolo)
(4, venerdi, 16, 18, aES, valle)
(4, sabato, 9, 11, eFD, vargiu)
(4, sabato, 11, 13, pBD, mazzei)

(5, venerdi, 9, 11, g3D, gribaudo)
(5, venerdi, 11, 13, lM, gena)
(5, venerdi, 14, 16, rDP, boniolo)
(5, venerdi, 16, 18, lM, gena)
(5, sabato, 9, 11, lM, gena)
(5, sabato, 11, 13, lM, gena)

(6, venerdi, 9, 11, g3D, gribaudo)
(6, venerdi, 11, 13, pM, muzzetto)
(6, venerdi, 14, 16, aES, valle)
(6, venerdi, 16, 18, pM, muzzetto)
(6, sabato, 9, 11, pBD, mazzei)
(6, sabato, 11, 13, lM, gena)

(7, lunedi, 9, 11, lM, gena)
(7, lunedi, 11, 13, eFD, vargiu)
(7, lunedi, 14, 16, pBD, mazzei)
(7, lunedi, 16, 18, pBD, mazzei)
(7, martedi, 9, 11, pM, muzzetto)
(7, martedi, 11, 13, pM, muzzetto)
(7, martedi, 14, 16, aUPM, gena)
(7, martedi, 16, 18, g3D, gribaudo)
(7, mercoledi, 9, 11, pBD, mazzei)
(7, mercoledi, 11, 13, g3D, gribaudo)
(7, mercoledi, 14, 16, lM, gena)
(7, mercoledi, 16, 18, g3D, gribaudo)
(7, giovedi, 9, 11, eFD, vargiu)
(7, giovedi, 11, 13, pBD, mazzei)
